id	mapping_ecdf
Q9NQ79	0.702719932002
Q8TBF2	0.76391840204
P23409	0.25722481938
Q9BZL4	0.678070548236
Q5H9L2	0.85996600085
P20930	0.363684657884
P20936	0.677008074798
P30613	0.832341691458
Q9C0H2	0.475563110922
Q00535	0.874096897578
Q00534	0.461750956226
Q00537	0.234275393115
Q00536	0.466107097323
Q9NXR7	0.668083297918
O00244	0.816617084573
Q9H2V7	0.47439439014
O00716	0.0668295792605
Q9UBM7	0.715575860603
Q13835	0.547811304717
P40424	0.56597960051
P40425	0.283467913302
P40429	0.867722056949
Q13838	0.838504037399
P08842	0.252124946876
P03891	0.777943051424
P02768	0.998831279218
P05386	0.862090947726
P05387	0.979069273268
P02760	0.829473013175
P02763	0.967488312792
P02765	0.84827879303
P02766	0.989800254994
Q7L266	0.902677433064
Q9UJ70	0.874521886953
Q9UQ03	0.758712282193
Q9UJ72	0.629940501487
Q15165	0.84158521037
O15254	0.524118147046
Q96QG7	0.603909902252
P29401	0.974713132172
P29400	0.429345516362
Q5VWT5	0.148746281343
P39023	0.803229919252
Q53XM7	0.944645133872
Q08426	0.25361240969
Q96CS3	0.675414364641
Q9P219	0.591691457714
Q5W111	0.529643008925
P62807	0.962919677008
P62805	0.0953038674033
Q9UK17	0.379834254144
Q92835	0.255524861878
P21453	0.0764980875478
Q969K3	0.355822354441
Q9BVC4	0.586060348491
Q9Y6E2	0.686039099023
Q9Y6E0	0.496068848279
O43933	0.54398640034
Q9BVC6	0.755949851254
Q09161	0.66202719932
P04035	0.0192307692308
P60520	0.935082872928
Q9UKZ1	0.480769230769
Q14566	0.679026774331
Q8NFQ8	0.32267318317
Q9NRH2	0.230344241394
Q9NRH3	0.671164470888
A6NIR3	0.29175520612
P41219	0.858053548661
P41217	0.789842753931
Q92527	0.503824904377
Q92520	0.90756481088
Q8N5F7	0.0456863578411
Q9H4P4	0.35773480663
V9HWF5	0.996706332342
P23352	0.24861878453
Q53HV7	0.106247343816
Q02878	0.897365065873
Q9HAP6	0.784424139397
P27449	0.947620059499
P07203	0.831385465363
Q96HA7	0.0668295792605
Q96HA8	0.549298767531
O75164	0.233319167021
O75165	0.550042498938
O75167	0.340628984275
Q9H211	0.0192307692308
Q96G23	0.290480237994
Q5VZL5	0.453251168721
P51784	0.592966425839
Q96G25	0.379303017425
Q9BWU0	0.308329791755
Q13239	0.0456863578411
Q13232	0.891096472588
Q9HCE5	0.422651933702
Q13237	0.0581172970676
Q9NXR1	0.366765830854
Q07960	0.863047173821
P10911	0.18540161496
Q15768	0.648958776031
P23743	0.0192307692308
P48147	0.866553336167
Q9BQG2	0.456651083723
O15417	0.143965150871
Q9BQG0	0.455482362941
Q4VC31	0.666170845729
Q96RU3	0.495325116872
Q9NYU1	0.25361240969
Q9NYU2	0.78591160221
Q96DR5	0.186145346366
A4D1P6	0.409689757756
P50395	0.974606884828
Q13643	0.384721631959
Q13642	0.937526561836
Q13641	0.524118147046
Q9Y5A9	0.610922226944
B0YJA4	0.991606459839
Q02127	0.238100297493
A6NE52	0.197195070123
P62380	0.569485762856
Q96CN9	0.126540586485
Q96KM6	0.262962175946
Q92917	0.302698682533
Q96CN7	0.838504037399
Q96CN5	0.190501487463
Q96CN4	0.652146196345
O15069	0.59466638334
O15068	0.435189120272
P10645	0.882065448364
P10644	0.836060348491
P48556	0.799936251594
P45877	0.672439439014
O15067	0.762855928602
O15066	0.804823629409
P60891	0.887484062898
Q9H6R3	0.358478538037
P07093	0.726094347641
Q8NAP3	0.142796430089
Q9HC62	0.322248193795
Q9NZM3	0.384402889928
Q9NZM1	0.228963025924
Q01968	0.554611134722
Q14CS0	0.573735656609
Q8N5G2	0.374415639609
Q03989	0.0456863578411
Q9BR01	0.815235869103
P16520	0.808648533787
Q9Y296	0.667977050574
Q9Y294	0.581066723332
Q9Y295	0.67010199745
P49795	0.356034849129
P49796	0.294517637059
P49790	0.500849978751
P49792	0.430939226519
P51116	0.703994900127
P51114	0.603378665533
Q9H7L9	0.422651933702
Q9Y2T5	0.249256268593
Q9Y2T4	0.461750956226
Q9Y2T7	0.636740331492
O60547	0.681576710582
O60812	0.866553336167
Q5T7V8	0.188801529962
Q9Y2T3	0.957713557161
Q9Y2T2	0.644708882278
Q9BZ67	0.0456863578411
Q9P0L0	0.954101147471
P31483	0.604653633659
Q9P0L2	0.706651083723
Q32MZ4	0.455482362941
Q9P0L9	0.236187845304
Q08174	0.712813429664
P35251	0.347960050999
P35250	0.496068848279
Q08170	0.791967700807
Q8IY18	0.0980662983425
Q92733	0.618359541011
Q92734	0.740862728432
Q9H773	0.702719932002
Q92736	0.415852103697
P43026	0.170845728857
Q00765	0.931470463238
Q5T5P2	0.503187420314
O00506	0.449638759031
O00507	0.567467063323
O00505	0.796005099873
P01009	0.9604759881
P01008	0.839141521462
